timestamp,open,high,low,close,volume
2021-04-09,123.87,133.04,123.07,132.995,447820438
2021-04-16,132.52,135.0,130.63,134.16,444178798
2021-04-23,133.51,135.53,131.3001,134.32,421246935
2021-04-30,134.83,137.07,131.065,131.46,501621389
2021-05-07,132.04,134.07,126.7,130.21,453802325
2021-05-14,129.41,129.54,122.25,127.45,514165627
2021-05-21,126.82,128.0,122.86,125.43,386352101
2021-05-28,126.01,128.32,124.55,124.61,357615057
2021-06-04,125.08,126.16,123.13,125.89,278314493
2021-06-11,126.17,128.46,124.8321,127.35,327048055
2021-06-18,127.82,132.55,127.07,130.46,456667151
2021-06-25,130.3,134.64,129.21,133.11,354155878
2021-07-02,133.41,140.0,133.35,139.96,321360130
2021-07-09,140.07,145.65,140.07,145.11,418559640
2021-07-16,146.21,150.0,143.63,146.39,504249326
2021-07-23,143.75,148.7177,141.67,148.56,441563639
2021-07-30,148.27,149.83,142.54,145.86,420947531
2021-08-06,146.36,148.045,145.18,146.14,284559337
2021-08-13,146.2,149.4444,145.3,149.1,299050639
2021-08-20,148.535,151.68,144.5,148.19,429624447
2021-08-27,148.31,150.86,146.83,148.6,272129118
2021-09-03,149.0,154.98,148.61,154.3,386760934
2021-09-10,154.97,157.26,148.7,148.97,354897433
2021-09-17,150.63,151.42,145.76,146.06,492884912
2021-09-24,143.8,147.4701,141.27,146.92,394033205
2021-10-01,145.47,145.96,139.1101,142.65,441421358
2021-10-08,141.76,144.215,138.27,142.9,382910000
2021-10-15,142.27,144.895,139.2,144.84,354098233
2021-10-22,143.445,150.18,143.16,148.69,340691290
2021-10-29,148.68,153.165,146.4128,149.8,392739936
2021-11-05,148.985,152.43,147.8,151.28,322688958
2021-11-12,151.41,151.57,147.48,149.99,281026556
2021-11-19,150.37,161.02,149.34,160.55,462419283
2021-11-26,161.68,165.7,156.36,156.81,359933163
2021-12-03,159.37,170.3,157.8,161.84,669981566
2021-12-10,164.29,179.63,164.28,179.45,569227705
2021-12-17,181.115,182.13,169.69,171.14,769789942
2021-12-23,168.28,176.8499,167.46,176.28,359176889
2021-12-31,177.085,181.33,177.07,177.57,337847299
2022-01-07,177.83,182.94,171.03,172.17,482162362
2022-01-14,169.08,177.18,168.17,173.07,422454950
2022-01-21,171.51,172.54,162.3,162.41,397684401
2022-01-28,160.02,170.35,154.7,170.33,688670659
2022-02-04,170.16,176.2399,169.51,172.39,458553231
2022-02-11,172.86,176.65,168.04,168.64,412902045
2022-02-18,167.37,173.34,166.19,167.3,364011266
2022-02-25,164.98,166.69,152.0,164.85,413588646
2022-03-04,163.06,168.91,161.97,163.17,418753837
2022-03-11,163.36,165.02,154.5,154.73,521334165
2022-03-18,151.45,164.48,150.1,163.98,501667481
2022-03-25,163.51,175.28,163.015,174.72,438484780
2022-04-01,172.17,179.61,171.94,174.31,465395123
2022-04-08,174.57,178.49,169.2,170.09,390677922
2022-04-14,168.71,171.27,165.04,165.29,297460188
2022-04-22,163.92,171.53,161.5,161.79,376576076
2022-04-29,161.12,166.2,155.38,157.65,540082324
2022-05-06,156.71,166.48,153.27,157.28,566193362
2022-05-13,154.925,156.74,138.8,147.11,686227375
2022-05-20,145.55,149.77,132.61,137.59,548244690
2022-05-27,137.79,149.68,137.14,149.64,495921758
2022-06-03,149.07,151.74,144.46,145.38,338923395
2022-06-10,147.03,149.8697,137.06,137.13,354396344
2022-06-17,132.87,137.34,129.04,131.56,541006195
2022-06-24,133.42,141.91,133.32,141.66,315960327
2022-07-01,142.695,143.49,133.7737,138.93,373781666
2022-07-08,137.77,147.55,136.93,147.04,278295402
2022-07-15,145.67,150.86,142.1201,150.17,366480107
2022-07-22,150.74,156.28,146.7,154.09,360988692
2022-07-29,154.01,163.63,150.8,162.51,370548915
2022-08-05,161.01,167.19,159.63,165.35,322415021
2022-08-12,166.37,172.17,163.25,172.1,318856922
2022-08-19,171.52,176.15,171.3101,171.52,322647151
2022-08-26,169.69,171.05,163.56,163.62,307194601
2022-09-02,161.145,162.9,154.67,155.81,389809404
2022-09-09,156.47,157.82,152.68,157.37,313749966
2022-09-16,159.59,164.26,148.37,150.7,568337936
2022-09-23,149.31,158.74,148.56,150.43,473155533
2022-09-30,149.66,154.72,138.0,138.2,577537048
2022-10-07,138.21,147.54,137.685,140.09,435940423
2022-10-14,140.42,144.52,134.37,138.38,424188362
2022-10-21,141.065,147.8479,140.27,147.27,397216487
2022-10-28,147.185,157.5,144.13,155.74,513092901
2022-11-04,153.155,155.45,134.38,138.38,510660451
2022-11-11,137.11,150.01,134.5933,149.7,461034592
2022-11-18,148.97,153.59,146.15,151.29,382679685
2022-11-25,150.16,151.83,146.925,148.11,204025457
2022-12-02,145.14,149.13,140.355,147.81,401189067
2022-12-09,147.77,150.9199,140.0,142.16,341500071
2022-12-16,142.7,149.9692,133.73,134.51,505728804
2022-12-23,135.11,136.81,129.64,131.86,384620427
2022-12-30,131.38,131.41,125.87,129.93,307184140
2023-01-06,130.28,130.9,124.17,129.62,369948527
2023-01-13,130.465,134.92,128.12,134.76,333335284
2023-01-20,134.83,138.61,133.77,137.87,271823466
2023-01-27,138.12,147.23,137.9,145.93,338655715
2023-02-03,144.955,157.38,141.32,154.5,480249683
2023-02-10,152.575,155.23,149.22,151.01,330758787
2023-02-17,150.952,156.33,150.85,152.55,316887898
2023-02-24,150.2,151.3,145.7202,146.71,213742390
2023-03-03,147.71,151.11,143.9,151.03,274036517
2023-03-10,153.785,156.3,147.6096,148.5,313350829
2023-03-17,147.805,156.74,147.7,155.0,410519933
2023-03-24,155.07,162.14,154.15,160.25,350159914
2023-03-31,159.94,165.0,155.98,164.9,267939590
2023-04-06,164.27,166.84,161.8,164.66,200156349
2023-04-14,161.42,166.32,159.78,165.21,263326290
2023-04-21,165.09,168.16,164.03,165.02,249150510
2023-04-28,165.0,169.85,162.8,169.68,254947569
2023-05-05,169.28,174.3,164.31,173.57,360723248
2023-05-12,172.48,174.59,171.0,172.57,250061982
2023-05-19,173.16,176.39,170.4201,175.16,258634688
2023-05-26,173.98,175.77,170.52,175.43,250354916
2023-06-02,176.96,181.78,176.57,180.95,286176391
2023-06-09,182.63,184.951,177.32,180.96,347854340
2023-06-16,181.27,186.99,180.97,184.92,333836397
2023-06-23,184.41,187.56,182.5901,186.68,203677112
2023-06-30,186.83,194.48,185.23,193.97,281596832
2023-07-07,193.78,193.88,189.2,190.68,170349466
2023-07-14,189.26,191.7,186.6,190.69,250269110
2023-07-21,191.9,198.23,191.23,191.94,310914135
2023-07-28,193.41,197.2,192.25,195.83,226011789
2023-08-04,196.06,196.73,181.92,181.99,302694989
2023-08-11,182.13,183.13,176.55,177.79,332501087
2023-08-18,177.97,179.69,171.96,174.49,261498109
2023-08-25,175.07,181.55,173.735,178.61,247514268
2023-09-01,180.09,189.92,178.545,189.46,264199503
2023-09-08,188.28,189.98,173.54,178.18,305126712
2023-09-15,180.07,180.3,173.58,175.01,403746390
2023-09-22,176.48,179.695,173.86,174.79,297395196
2023-09-29,174.2,176.97,167.62,171.21,285838995
