,timestamp,open,high,low,close,volume,rsi_14,macd,macd_signal,sma_5,sma_20,return,future_return,target,overall_sentiment_score,ticker_sentiment,ticker_relevance,topic_Economy - Monetary,topic_Technology,topic_Financial Markets,topic_Manufacturing,topic_Economy - Fiscal,topic_Energy & Transportation,topic_Finance,topic_Life Sciences,topic_IPO,topic_Earnings,topic_Retail & Wholesale,topic_Mergers & Acquisitions,topic_Real Estate & Construction,topic_Blockchain,topic_Economy - Macro
35,2018-05-10,307.5,312.99,304.11,305.02,5651561,54.49308641559748,0.8677805475998639,-1.7263430227465686,302.14,294.0055,0.019111259605746556,-0.012982755229165255,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2018-05-11,307.7,308.88,299.08,301.06,4679649,52.05550929682381,1.0375172014805116,-1.1735709779011527,303.534,294.0415,0.039356486915694155,-0.03019331694678795,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2018-05-14,303.32,304.94,291.62,291.97,7286804,46.87243048677632,0.4335499963844427,-0.8521467830440337,301.374,294.0795,-0.04177879881850988,-0.026680823372264295,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2018-05-15,285.01,286.96,280.5,284.18,9519173,42.9277028770088,-0.6660089249459133,-0.8149192114244097,297.81600000000003,293.904,-0.05566078490014292,0.008093461890351206,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2018-05-16,283.83,288.81,281.56,286.48,5674019,44.41511500829864,-1.3364210835387098,-0.9192195858472698,293.742,293.5605,-0.025843307943416605,-0.006771851438145737,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2018-05-17,285.9,289.19,283.97,284.54,4420612,43.38796511384396,-2.001200739603803,-1.1356158165985766,289.646,292.7835,-0.05260704534860472,-0.02713151050818874,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2018-05-18,284.65,284.65,274.0,276.82,7251887,39.475660236806355,-3.1150742508844473,-1.5315075034557508,284.79800000000006,292.1125,-0.049414511864290356,0.027707535582689236,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2018-05-21,281.33,291.49,281.3,284.49,9182571,44.80111232689447,-3.340415899313598,-1.8932891826273204,283.302,292.1685,-0.01112308387500427,-0.0333227881472109,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2018-05-22,287.76,288.0,273.42,275.01,8945756,40.10418565344949,-4.2351375224496906,-2.3616588505917946,281.468,291.746,-0.06251917504687243,0.014763099523653622,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2018-05-23,277.76,279.91,274.0,279.07,5985053,42.86677360232435,-4.563991927784798,-2.8021254660303954,279.986,291.66499999999996,-0.07001466275659818,-0.004371663023614025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2018-05-24,278.4,281.11,274.89,277.85,4176708,42.23636139147279,-4.8669520239557755,-3.2150907776154716,278.648,291.2835,-0.04268880926130092,0.0035990642432968123,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2018-05-25,277.63,279.64,275.61,278.85,3875082,42.97661690670054,-4.969078002164338,-3.565888222525245,279.05400000000003,290.52200000000005,-0.015950876945336367,0.017608032992648237,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2018-05-29,278.51,286.5,276.15,283.76,5666640,46.59547334774677,-4.600782651733255,-3.7728671083668472,278.908,290.015,0.001058350384534057,0.028051874823794787,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2018-05-30,283.29,295.01,281.6,291.72,7489686,51.922407700941285,-3.6248158369883186,-3.7432568540911415,282.25000000000006,289.60499999999996,0.039296020520859454,-0.023961332784862233,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2018-05-31,287.21,290.37,282.93,284.73,5919721,47.44677192894824,-3.376467867179713,-3.669899056708856,283.382,288.784,-0.0026271542664985104,0.024900783198117393,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2018-06-01,285.86,291.95,283.84,291.82,5424386,51.96921720989478,-2.577830935082659,-3.451485432383617,286.17600000000004,289.15250000000003,-0.007684983677910706,0.016859708039202337,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2018-06-04,294.34,299.0,293.55,296.74,4797810,54.87142871027799,-1.5302626158033377,-3.067240869067561,289.754,289.28499999999997,0.009663150731541448,-0.018905439104940358,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2018-06-05,297.7,297.8,286.74,291.13,5995157,51.08130147304082,-1.1396006834243053,-2.68171283193891,291.22799999999995,288.70300000000003,-0.02930781541744476,0.09744787551952738,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2018-06-06,300.5,322.17,297.48,319.5,18767269,64.45311314309731,1.442594285629525,-1.856851408425223,296.784,289.5795,0.060933089822347686,-0.010672926447574449,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2018-06-07,316.15,330.0,313.58,316.09,14345271,62.25050146263993,3.1772188991546386,-0.8500373469092506,303.056,290.0415,0.11123220249604504,0.0049669397956280115,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2018-06-08,319.0,324.48,317.15,317.66,8205202,62.87948316281513,4.625289819732359,0.24502808641907126,308.224,290.6735,0.08014553368016619,0.045457407290814045,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2018-06-11,322.51,334.66,322.5,332.1,13183473,68.13788372409894,6.859017295173771,1.5678259281700113,315.296,292.2255,0.09687221323116568,0.03212887684432397,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2018-06-12,344.7,354.97,338.0,342.77,22347403,71.36569548746493,9.38209133097348,3.1306790087307053,325.62399999999997,294.7655,0.13511275954565005,0.005863990430901245,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2018-06-13,346.71,347.2,339.8,344.78,9469804,71.94233113717065,11.412282198554692,4.786999646695503,330.67999999999995,297.7955,0.123610884797132,0.03753117930274397,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
