,Date,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount
219,2021-10-31,60852.22,63710.63,57820.0,61299.8,314971.8498,19208389552.551533,10574780
220,2021-11-07,61299.81,64270.0,59405.0,63273.59,253033.72432,15663897405.533567,9556016
221,2021-11-14,63273.58,69000.0,62278.0,65519.1,294213.112708,19286358161.9107,11207688
222,2021-11-21,65519.11,66401.82,55600.0,58622.02,340150.61676,20344773160.10561,11100482
223,2021-11-28,58617.7,59444.0,53256.64,57274.88,315216.31943,17762591467.11147,10734607
224,2021-12-05,57274.89,59176.99,42000.3,49396.33,390528.912488,20822450911.087795,12286961
225,2021-12-12,49396.32,51936.33,46751.0,50053.9,272083.99753,13393900447.457172,8239356
226,2021-12-19,50053.9,50189.97,45456.0,46681.23,271834.80183,12915658909.988441,8055423
227,2021-12-26,46681.24,51810.0,45558.85,50775.49,209126.50211,10271754709.779242,6959950
228,2022-01-02,50775.48,52088.0,45678.0,47286.18,217367.00866,10457549257.814726,6863549
229,2022-01-09,47286.18,47570.0,40501.0,41864.62,264331.61587,11564043206.342638,7717954
230,2022-01-16,41864.62,44500.0,39650.0,43071.66,232059.06969,9875457752.625004,6758442
231,2022-01-23,43071.66,43505.0,34008.0,36244.55,354513.98432,13695568421.72647,9181325
232,2022-01-30,36244.55,38919.98,32917.17,37881.76,353702.626391,12907284440.455256,8716769
233,2022-02-06,37881.75,42656.0,36250.0,42380.87,258946.95322,10064164364.242208,6785864
234,2022-02-13,42380.87,45821.0,41645.85,42053.66,301990.47877,13148234178.649647,8359076
235,2022-02-20,42053.65,44751.4,38000.0,38386.89,243150.46162,10134957033.789463,6173489
236,2022-02-27,38386.89,40348.45,34322.28,37699.07,412335.93267,15524273633.729555,9817037
237,2022-03-06,37699.08,45400.0,37450.17,38420.81,376417.0783,15676665511.513798,10071554
238,2022-03-13,38420.8,42594.06,37155.0,37777.34,374777.65361,14764496466.377068,8576202
239,2022-03-20,37777.35,42400.0,37555.0,41262.11,323399.671,13045068424.15988,7828983
240,2022-03-27,41262.11,46999.0,40467.94,46827.76,315436.15044,13657786157.688328,7404092
241,2022-04-03,46827.76,48189.84,44200.0,46407.35,312053.15964,14562359846.879017,8362296
242,2022-04-10,46407.36,47200.0,41868.0,42158.85,268118.29111,11891061200.074501,7117155
243,2022-04-17,42158.85,42414.71,39200.0,39678.12,259280.16793,10491993678.143215,5921595
244,2022-04-24,39678.11,42976.0,38536.51,39450.13,283885.03637,11530224571.577888,7307352
245,2022-05-01,39450.12,40797.31,37386.38,38468.35,368444.26814,14366905362.211203,8168960
246,2022-05-08,38468.35,40023.77,33713.95,34038.4,419979.5829,15553421461.79525,8540020
247,2022-05-15,34038.39,34243.15,26700.0,31328.89,964223.849274,29301810530.841793,16818661
248,2022-05-22,31328.89,31328.9,28654.47,30293.94,375096.22376,11177195347.940817,9177698
249,2022-05-29,30293.93,30670.51,28019.56,29468.1,430508.71991,12611294754.572105,7332430
250,2022-06-05,29468.1,32399.0,29282.36,29919.21,422401.40352,12912323442.261396,7249030
251,2022-06-12,29919.2,31765.64,26560.0,26574.53,528925.487959,15683647970.687147,8740633
252,2022-06-19,26574.53,26895.84,17622.0,20574.0,1153717.637537,24718445373.532467,16153967
253,2022-06-26,20574.0,21888.0,19637.03,21038.07,570801.23178,11870152671.08868,8827163
254,2022-07-03,21038.08,21539.85,18626.0,19315.83,508544.1397,10107464161.050232,8098167
255,2022-07-10,19315.83,22527.37,19055.31,20862.47,1111996.98071,23540958829.801064,17338062
256,2022-07-17,20861.11,21684.54,18910.94,20798.16,1043685.76303,21225657682.257206,28620637
257,2022-07-24,20799.58,24276.74,20762.45,22579.68,1336219.23609,30419505018.44636,36404041
258,2022-07-31,22577.13,24668.0,20706.5,23293.32,1282264.24492,29215844069.13143,36815045
